27000 0 4
{
{116312 59606 54.000}
{44530 59606 0.000}
{114692 59606 58.000}
{103378 59606 0.000}
{101668 59606 0.000}
{108398 59606 0.000}
{111758 59606 0.000}
{54594 59606 0.000}
{114008 59606 69.000}
{104444 59606 60.000}
{109698 59606 94.000}
{82074 59606 0.000}
{115414 59606 0.000}
{113230 59606 0.000}
{51640 59606 0.000}
{55872 59606 0.000}
{93878 59606 0.000}
{114916 59606 0.000}
{67076 59606 0.000}
{90162 59606 0.000}
{116744 59606 10.000}
{77068 59606 0.000}
{69420 59606 20.000}
{94610 59606 0.000}
{62012 59606 0.000}
{70416 59606 0.000}
{62594 59606 0.000}
{117662 59606 0.000}
{59892 59606 0.000}
{82952 59606 0.000}
{47646 59606 0.000}
{49576 56442 0.000}
{95310 56442 7.000}
{87544 56442 0.000}
{110618 56442 0.000}
{60262 56442 0.000}
{79648 56442 34.000}
{96816 56442 35.000}
{99310 56442 0.000}
{97800 56442 0.000}
{48818 56442 0.000}
{61798 56442 0.000}
{49576 93168 0.000}
{87544 93168 0.000}
{60262 93168 68.000}
{79648 93168 0.000}
{88502 75700 1.000}
{103378 75700 0.000}
{113780 75700 0.000}
{112260 75700 73.000}
{51512 75700 59.000}
{82074 75700 0.000}
{115414 75700 0.000}
{113230 75700 0.000}
{51640 75700 0.000}
{55872 75700 0.000}
{93878 75700 0.000}
{114916 75700 0.000}
{65796 75700 0.000}
{88692 75700 0.000}
{86950 75700 0.000}
{67800 75700 0.000}
{61798 75700 0.000}
{96090 75700 0.000}
{87970 75700 0.000}
{84162 75700 0.000}
{89870 75700 68.000}
{49670 75700 0.000}
{82376 75700 0.000}
{89220 75700 0.000}
{47646 75700 0.000}
{45800 75700 0.000}
{44530 114432 0.000}
{108128 114432 0.000}
{84834 114432 0.000}
{49794 114432 81.000}
{101668 114432 0.000}
{108398 114432 0.000}
{111758 114432 97.000}
{54594 114432 1.000}
{106674 114432 0.000}
{69420 114432 0.000}
{99420 114432 148.000}
{96222 114432 0.000}
{116286 114432 0.000}
{109888 114432 0.000}
{70416 114432 17.000}
{117662 114432 0.000}
{59892 114432 0.000}
{82952 114432 72.000}
{69721 114432 1.000}
{49576 79174 0.000}
{95310 79174 0.000}
{88502 79174 0.000}
{44530 79174 0.000}
{114692 79174 0.000}
{101974 79174 0.000}
{115190 79174 0.000}
{108128 79174 0.000}
{87544 79174 0.000}
{110618 79174 0.000}
{44786 79174 0.000}
{113780 79174 0.000}
{84834 79174 0.000}
{105710 79174 0.000}
{101668 79174 0.000}
{108398 79174 0.000}
{111758 79174 0.000}
{54594 79174 0.000}
{114008 79174 25.000}
{104444 79174 0.000}
{109698 79174 0.000}
{106674 79174 0.000}
{112308 79174 0.000}
{55256 79174 0.000}
{85972 79174 0.000}
{97682 79174 183.000}
{107862 79174 116.000}
{112494 79174 0.000}
{80334 79174 0.000}
{67076 79174 0.000}
{90162 79174 0.000}
{116744 79174 0.000}
{77068 79174 0.000}
{69420 79174 0.000}
{94610 79174 0.000}
{62012 79174 0.000}
{99420 79174 30.000}
{60262 79174 0.000}
{79648 79174 0.000}
{96816 79174 0.000}
{99310 79174 0.000}
