Old_lane,New_lane
536800,536800
536801,536801
536802,536802
613300,613300
613301,613301
613302,613302
726000,726000
726001,726001
726200,726200
726201,726201
536900,536900
536901,536901
536902,536902
792100,792100
792101,792101
792102,792102
792103,792103
537000,537000
537001,537001
537002,537002
755700,755700
755701,755701
755702,755702
856900,856900
856901,856901
856902,856902
856903,856903
856904,856904
537600,537600
537601,537601
537602,537602
537603,537603
830100,830100
830101,830101
830102,830102
536400,536400
536401,536401
536402,536402
536403,536403
798200,798200
798201,798201
721700,721700
721701,721701
721702,721702
830000,830000
830001,830001
830002,830002
777100,777100
777101,777101
519200,519200
519201,519201
531700,531700
531701,531701
531400,531400
531401,531401
531402,531402
732600,732600
732601,732601
1145700,1145700
1145701,1145701
1031800,1031800
1236400,1236400
1236401,1236401
939700,939700
939701,939701
939702,939702
939900,939901
939901,939902
939902,939903
940100,940100
940101,940101
967800,967800
967801,967801
967802,967802
968200,968200
968201,968201
968400,968400
968401,968401
671900,671900
682600,682600
757300,757301
757301,757302
757302,757303
538200,538200
538201,538201
538202,538202
735200,735200
735201,735201
735202,735202
735203,735203
783400,783400
783401,783401
783402,783402
754700,754700
754701,754701
830800,830800
830801,830801
1046900,1126701
1046901,1126702
605600,605600
605601,605601
605602,605602
729300,729300
729301,729301
729302,729302
664900,664900
664901,664901
664902,664902
664903,664903
753200,753200
753201,753201
729700,729700
729701,729701
729702,729702
729703,729703
753300,753300
753301,753301
753302,753302
753303,753303
730300,730300
730301,730301
730302,730302
730303,730303
750000,750000
750001,750001
750002,750002
750003,750003
750004,750004
751600,751600
751601,751601
751602,751602
751603,751603
751604,751604
728700,728700
728701,728701
728702,728702
728703,728703
728100,728100
786600,786600
786601,786601
786602,786602
786603,786603
728300,728300
728301,728301
728800,728800
728801,728801
728802,728802
536200,536200
536201,536201
536202,536202
536203,536203
830200,830200
830201,830201
830202,830202
830300,830300
830301,830301
830302,830302
725000,725000
725001,725001
725002,725002
725003,725003
718300,718300
718301,718301
714500,714500
714501,714501
714502,714502
714503,714503
714504,714504
714505,714505
829800,829800
829801,829801
829802,829802
723400,723400
723401,723401
723402,723402
723403,723403
717400,3128100
717401,3128101
717402,3128102
717403,3128103
719300,719300
719301,719301
719302,719302
719303,719303
719304,719304
734300,734300
734301,734301
734302,734302
734303,734303
734304,734304
894800,894800
894801,894801
894802,894802
1069600,1069600
1069601,1069601
1069602,1069602
1069603,1069603
1069604,1069604
907700,907700
907701,907701
907702,907702
907703,907703
907600,907600
907601,907601
907602,907602
907603,907603
907800,907800
907801,907801
907802,907802
907803,907803
907804,907804
908100,908100
908101,908101
908102,908102
908103,908103
908104,908104
908105,908105
791900,791900
791901,791901
791902,791902
791903,791903
830700,830700
747000,747000
747001,747001
747002,747002
538500,538500
748400,748400
748401,748401
748402,748402
748403,748403
748404,748404
748405,748405
748600,748600
748601,748601
748602,748602
748603,748603
748604,748604
748800,3122901
748801,748800
748802,748801
748803,748802
740100,740100
740101,740101
740102,740102
740300,740300
740301,740301
740302,740302
740303,740303
945800,3131000
945801,945801
945802,945802
945803,945803
945804,945804
945805,945805
946000,946000
946001,946001
946002,946002
946100,946100
946101,946101
946102,946102
1157100,1157100
1157101,1157101
734900,734900
734901,734901
734902,734902
734903,734903
761000,761000
761001,761001
761002,761002
708300,708300
708301,708301
708302,708302
708700,708700
708701,708701
708702,708702
708703,708703
708800,708800
708801,708801
708802,708802
708803,708803
708804,708804
527500,527500
527501,527501
527502,527502
527503,527503
712300,712300
712301,712301
712302,712302
712303,712303
524200,524200
524201,524201
524202,524202
524203,524203
708500,708500
708501,708501
708502,708502
708503,708503
710500,710500
710501,710501
710502,710502
735800,735800
735801,735801
735802,735802
736000,736000
736001,736001
736002,736002
736003,736003
736004,736004
736005,736005
704500,704500
704501,704501
704502,704502
704503,704503
737200,737200
737201,737201
737202,737202
737203,737203
737300,737300
737301,737301
737302,737302
532800,532800
532801,532801
532802,532802
529500,529500
529501,529501
533000,533000
533001,533001
533002,533002
533003,533003
678400,678400
678401,678401
678402,678402
598600,598600
598601,598601
598602,598602
549200,549200
549201,549201
711000,711000
710400,710400
674500,674500
674501,674501
674502,674502
652000,652000
652001,652001
652002,652002
652003,652003
831000,831000
831001,831001
831002,831002
718900,718900
718901,718901
718902,718902
718903,718903
719200,719200
719201,719201
719202,719202
719203,719203
719204,719204
731500,731500
731501,731501
733000,733000
733001,733001
733002,733002
733003,733003
535500,535500
535501,535501
847800,847800
847801,847801
1090700,1090700
1090701,1090701
1090702,1090702
1090703,1090703
1031500,1031500
1031501,1031501
1031502,1031502
1237500,1237500
1237700,1237700
1237701,1237701
747700,747700
747701,747701
747702,747702
747703,747703
747704,747704
552100,552100
552101,552101
552102,552102
552103,552103
552300,552300
552301,552301
552302,552302
552303,552303
552304,552304
552400,552401
552401,552402
552402,552403
552403,552404
763400,763400
763401,763401
763402,763402
763403,763403
718600,718600
718601,718601
718602,718602
718700,718700
718701,718701
718702,718702
755400,755400
755401,755401
755402,755402
755403,755403
755404,755404
720700,720700
720701,720701
720702,720702
720703,720703
718800,718800
718801,718801
718802,718802
718803,718803
898500,898500
898501,898501
898502,898502
898700,898700
898701,898701
898702,898702
898703,898703
1082300,1082300
1082301,1082301
1082302,1082302
1082303,1082303
1082304,1082304
1043800,1043800
1043801,1043801
1043802,1043802
1043803,1043803
1043804,1043804
570500,570500
570501,570501
570502,570502
570700,570700
570701,570701
570702,570702
570703,570703
466900,466900
466901,466901
466902,466902
702400,702400
702401,702401
702402,702402
752000,752000
752001,752001
752002,752002
752003,752003
752004,752004
749700,749700
749701,749701
749702,749702
749703,749703
752200,752200
752201,752201
752202,752202
752203,752203
739800,739800
739801,739801
739802,739802
739803,739803
739804,739804
743500,743500
743501,743501
743502,743502
743503,743503
743700,743700
743701,743701
743702,743702
594400,594400
594401,594401
594402,594402
594403,594403
743900,743900
743901,743901
743902,743902
743903,743903
604300,604300
604301,604301
834300,834300
834301,834301
834302,834302
636000,636000
636001,636001
636002,636002
636003,636003
660400,660400
660401,660401
660402,660402
660403,660403
835400,835400
835500,3131100
835501,3130600
569300,569300
569301,569301
569302,569302
569500,569500
569501,569501
569502,569502
569503,569503
495600,495600
495601,495601
503000,503000
503001,503001
857300,857300
601300,601301
601301,601302
601302,601303
833900,833900
833901,833901
1058700,1058700
1058701,1058701
1058702,1058702
1058703,1058703
1058704,1058704
860700,860700
860701,860701
883400,883400
883401,883401
883800,883800
883801,883801
1140000,1140000
1140001,1140001
1140002,1140002
594100,594100
594101,594101
594102,594102
594103,594103
594104,594104
505300,505300
505301,505301
505302,505302
622700,622700
622701,622701
622702,622702
622703,622703
642000,642000
642001,642001
642002,642002
642003,642003
518100,518100
518101,518101
518102,518102
467300,467300
469900,469900
527800,527800
527801,527801
527802,527802
527803,527803
527804,527804
744300,744300
744301,744301
744302,744302
528200,3127100
528201,3127101
528202,3127102
792700,792700
691700,691700
691701,691701
832100,832100
832101,832101
614700,614700
614701,614701
614702,614702
509000,509000
509001,509001
509002,509002
492100,492100
492101,492101
709100,707300
709101,707301
709102,707302
709103,707303
709104,707304
709200,709200
709201,709201
709202,709202
709203,709203
709204,709204
791600,791600
791601,791601
836600,836600
836601,836601
836400,836400
644900,644900
644901,644901
644902,644902
644903,644903
832700,832700
496800,496800
496801,496801
496802,496802
497000,497000
497001,497001
711300,711300
711301,711301
711302,711302
527300,3126600
732800,732800
732801,732801
732802,732802
534200,534200
534201,534201
595300,595300
595301,595301
595302,595302
790500,790500
790501,790501
790502,790502
584100,584100
667500,667500
667501,667501
667502,667502
667503,667503
667700,667700
667701,667701
667702,667702
667703,667703
667800,667800
667801,667801
667802,667802
688900,688902
688901,688903
1087400,1087400
1087401,1087401
1087402,1087402
1087700,1087700
1087701,1087701
1087702,1087702
1087703,1087703
885100,885100
885101,885101
885102,885102
885103,885103
885104,885104
1089200,1089200
1089201,1089201
1089202,1089202
1089203,1089203
1217800,1217800
1217801,1217801
1217802,1217802
1217803,1217803
961600,961600
961601,961601
961602,961602
961603,961603
882700,882700
882701,882701
882702,882702
882703,882703
882704,882704
882705,882705
961800,961800
961801,961801
961802,961802
961803,961803
902800,902800
902801,902801
902802,902802
902803,902803
902804,902804
1218100,1218100
1218101,1218101
1218000,1218000
1218001,1218001
616200,616200
616201,616201
616202,616202
616400,616400
616401,616401
616402,616402
616100,616100
622600,622600
622601,622601
622602,622602
622603,622603
622604,622604
623100,623100
623101,623101
623102,623102
623103,623103
623104,623104
624700,624700
624701,624701
624702,624702
624703,624703
624704,624704
601900,601900
601901,601901
601902,601902
624800,624800
624801,624801
624802,624802
624803,624803
709600,709600
709601,709601
709602,709602
709700,709700
709701,709701
709702,709702
709703,709703
705600,705600
705601,705601
705602,705602
705603,705603
707900,707900
707901,707901
707902,707902
