"SegID" "Time" "SensorID" "LaneID" "Counts" "screenLineSegmet"
"10907" 63000 "307" "1090700" 36 "103B"
"10907" 63000 "307" "1090701" NA "103B"
"10907" 63000 "307" "1090702" 14 "103B"
"10907" 63000 "307" "1090703" NA "103B"
"10907" 63000 "307" "1090700" 36 "103B"
"10907" 63000 "307" "1090701" NA "103B"
"10907" 63000 "307" "1090702" 14 "103B"
"10907" 63000 "307" "1090703" NA "103B"
"10907" 63300 "307" "1090700" 44 "103B"
"10907" 63300 "307" "1090701" NA "103B"
"10907" 63300 "307" "1090702" 15 "103B"
"10907" 63300 "307" "1090703" NA "103B"
"10907" 63600 "307" "1090700" 38 "103B"
"10907" 63600 "307" "1090701" NA "103B"
"10907" 63600 "307" "1090702" 15 "103B"
"10907" 63600 "307" "1090703" NA "103B"
"10907" 63900 "307" "1090700" 29 "103B"
"10907" 63900 "307" "1090701" NA "103B"
"10907" 63900 "307" "1090702" 10 "103B"
"10907" 63900 "307" "1090703" NA "103B"
"10907" 64200 "307" "1090700" 38 "103B"
"10907" 64200 "307" "1090701" NA "103B"
"10907" 64200 "307" "1090702" 17 "103B"
"10907" 64200 "307" "1090703" NA "103B"
"10907" 64500 "307" "1090700" 32 "103B"
"10907" 64500 "307" "1090701" NA "103B"
"10907" 64500 "307" "1090702" 13 "103B"
"10907" 64500 "307" "1090703" NA "103B"
"10907" 64800 "307" "1090700" 32 "103B"
"10907" 64800 "307" "1090701" NA "103B"
"10907" 64800 "307" "1090702" 19 "103B"
"10907" 64800 "307" "1090703" NA "103B"
"10907" 65100 "307" "1090700" 34 "103B"
"10907" 65100 "307" "1090701" NA "103B"
"10907" 65100 "307" "1090702" 11 "103B"
"10907" 65100 "307" "1090703" NA "103B"
"10907" 65400 "307" "1090700" 45 "103B"
"10907" 65400 "307" "1090701" NA "103B"
"10907" 65400 "307" "1090702" 8 "103B"
"10907" 65400 "307" "1090703" NA "103B"
"10907" 65700 "307" "1090700" 35 "103B"
"10907" 65700 "307" "1090701" NA "103B"
"10907" 65700 "307" "1090702" 9 "103B"
"10907" 65700 "307" "1090703" NA "103B"
"10907" 66000 "307" "1090700" 25 "103B"
"10907" 66000 "307" "1090701" NA "103B"
"10907" 66000 "307" "1090702" 8 "103B"
"10907" 66000 "307" "1090703" NA "103B"
"10907" 66300 "307" "1090700" 36 "103B"
"10907" 66300 "307" "1090701" NA "103B"
"10907" 66300 "307" "1090702" 15 "103B"
"10907" 66300 "307" "1090703" NA "103B"
"10907" 66600 "307" "1090700" 37 "103B"
"10907" 66600 "307" "1090701" NA "103B"
"10907" 66600 "307" "1090702" 12 "103B"
"10907" 66600 "307" "1090703" NA "103B"
"10907" 66900 "307" "1090700" 37 "103B"
"10907" 66900 "307" "1090701" NA "103B"
"10907" 66900 "307" "1090702" 8 "103B"
"10907" 66900 "307" "1090703" NA "103B"
"10907" 67200 "307" "1090700" 34 "103B"
"10907" 67200 "307" "1090701" NA "103B"
"10907" 67200 "307" "1090702" 13 "103B"
"10907" 67200 "307" "1090703" NA "103B"
"10907" 67500 "307" "1090700" 40 "103B"
"10907" 67500 "307" "1090701" NA "103B"
"10907" 67500 "307" "1090702" 16 "103B"
"10907" 67500 "307" "1090703" NA "103B"
"10907" 67800 "307" "1090700" 34 "103B"
"10907" 67800 "307" "1090701" NA "103B"
"10907" 67800 "307" "1090702" 7 "103B"
"10907" 67800 "307" "1090703" NA "103B"
"10907" 68100 "307" "1090700" 30 "103B"
"10907" 68100 "307" "1090701" NA "103B"
"10907" 68100 "307" "1090702" 11 "103B"
"10907" 68100 "307" "1090703" NA "103B"
"10907" 68400 "307" "1090700" 37 "103B"
"10907" 68400 "307" "1090701" NA "103B"
"10907" 68400 "307" "1090702" 12 "103B"
"10907" 68400 "307" "1090703" NA "103B"
"10907" 68700 "307" "1090700" 36 "103B"
"10907" 68700 "307" "1090701" NA "103B"
"10907" 68700 "307" "1090702" 22 "103B"
"10907" 68700 "307" "1090703" NA "103B"
"10907" 69000 "307" "1090700" 37 "103B"
"10907" 69000 "307" "1090701" NA "103B"
"10907" 69000 "307" "1090702" 15 "103B"
"10907" 69000 "307" "1090703" NA "103B"
"10907" 69300 "307" "1090700" 39 "103B"
"10907" 69300 "307" "1090701" NA "103B"
"10907" 69300 "307" "1090702" 13 "103B"
"10907" 69300 "307" "1090703" NA "103B"
"10907" 69600 "307" "1090700" 35 "103B"
"10907" 69600 "307" "1090701" NA "103B"
"10907" 69600 "307" "1090702" 14 "103B"
"10907" 69600 "307" "1090703" NA "103B"
"10907" 69900 "307" "1090700" 27 "103B"
"10907" 69900 "307" "1090701" NA "103B"
"10907" 69900 "307" "1090702" 12 "103B"
"10907" 69900 "307" "1090703" NA "103B"
"4699" 63000 "431" "469900" NA "S31A"
"4699" 63000 "431" "469900" NA "S31A"
"4699" 63300 "431" "469900" NA "S31A"
"4699" 63600 "431" "469900" NA "S31A"
"4699" 63900 "431" "469900" NA "S31A"
"4699" 64200 "431" "469900" NA "S31A"
"4699" 64500 "431" "469900" NA "S31A"
"4699" 64800 "431" "469900" NA "S31A"
"4699" 65100 "431" "469900" NA "S31A"
"4699" 65400 "431" "469900" NA "S31A"
"4699" 65700 "431" "469900" NA "S31A"
"4699" 66000 "431" "469900" NA "S31A"
"4699" 66300 "431" "469900" NA "S31A"
"4699" 66600 "431" "469900" NA "S31A"
"4699" 66900 "431" "469900" NA "S31A"
"4699" 67200 "431" "469900" NA "S31A"
"4699" 67500 "431" "469900" NA "S31A"
"4699" 67800 "431" "469900" NA "S31A"
"4699" 68100 "431" "469900" NA "S31A"
"4699" 68400 "431" "469900" NA "S31A"
"4699" 68700 "431" "469900" NA "S31A"
"4699" 69000 "431" "469900" NA "S31A"
"4699" 69300 "431" "469900" NA "S31A"
"4699" 69600 "431" "469900" NA "S31A"
"4699" 69900 "431" "469900" NA "S31A"
"5342" 63000 "625" "534200" NA "ERP18A"
"5342" 63000 "625" "534201" NA "ERP18A"
"5342" 63000 "625" "534202" NA "ERP18A"
"5342" 63000 "625" "534203" NA "ERP18A"
"5342" 63000 "625" "534200" NA "ERP18A"
"5342" 63000 "625" "534201" NA "ERP18A"
"5342" 63000 "625" "534202" NA "ERP18A"
"5342" 63000 "625" "534203" NA "ERP18A"
"5342" 63300 "625" "534200" NA "ERP18A"
