"SegID" "Time" "Counts" "screenLineSegmet"
"10907" 48600 228 "103B"
"5368" 48600 60 "S21A"
"5873" 48600 16 "136A"
"6236" 48600 49 "S39A"
"7036" 48600 312 "S42A"
"7192" 48600 117 "ERP63A"
"7435" 48600 93 "S29A"
"7907" 48600 41 "ERP8A"
"7915" 48600 418 "ERP21A"
"7916" 48600 173 "ERP22A"
"7921" 48600 168 "ERP6A"
"7922" 48600 363 "S35A"
"7925" 48600 85 "S32A"
"8298" 48600 43 "S49B"
"10907" 48600 228 "103B"
"5368" 48600 60 "S21A"
"5873" 48600 16 "136A"
"6236" 48600 49 "S39A"
"7036" 48600 312 "S42A"
"7192" 48600 117 "ERP63A"
"7435" 48600 93 "S29A"
"7907" 48600 41 "ERP8A"
"7915" 48600 418 "ERP21A"
"7916" 48600 173 "ERP22A"
"7921" 48600 168 "ERP6A"
"7922" 48600 363 "S35A"
"7925" 48600 85 "S32A"
"8298" 48600 43 "S49B"
"8298" 49500 24 "S49B"
"10907" 48600 228 "103B"
"5368" 48600 60 "S21A"
"5873" 48600 16 "136A"
"6236" 48600 49 "S39A"
"7036" 48600 312 "S42A"
"7192" 48600 117 "ERP63A"
"7435" 48600 93 "S29A"
"7907" 48600 41 "ERP8A"
"7915" 48600 418 "ERP21A"
"7916" 48600 173 "ERP22A"
"7921" 48600 168 "ERP6A"
"7922" 48600 363 "S35A"
"7925" 48600 85 "S32A"
"8298" 48600 43 "S49B"
"10907" 48600 228 "103B"
"5368" 48600 60 "S21A"
"5873" 48600 16 "136A"
"6236" 48600 49 "S39A"
"7036" 48600 312 "S42A"
"7192" 48600 117 "ERP63A"
"7435" 48600 93 "S29A"
"7907" 48600 41 "ERP8A"
"7915" 48600 418 "ERP21A"
"7916" 48600 173 "ERP22A"
"7921" 48600 168 "ERP6A"
"7922" 48600 363 "S35A"
"7925" 48600 85 "S32A"
"8298" 48600 43 "S49B"
"8298" 49500 24 "S49B"
"8298" 50400 29 "S49B"
"10907" 48600 228 "103B"
"5368" 48600 60 "S21A"
"5873" 48600 16 "136A"
"6236" 48600 49 "S39A"
"7036" 48600 312 "S42A"
"7192" 48600 117 "ERP63A"
"7435" 48600 93 "S29A"
"7907" 48600 41 "ERP8A"
"7915" 48600 418 "ERP21A"
"7916" 48600 173 "ERP22A"
"7921" 48600 168 "ERP6A"
"7922" 48600 363 "S35A"
"7925" 48600 85 "S32A"
"8298" 48600 43 "S49B"
"10907" 48600 228 "103B"
"5368" 48600 60 "S21A"
"5873" 48600 16 "136A"
"6236" 48600 49 "S39A"
"7036" 48600 312 "S42A"
"7192" 48600 117 "ERP63A"
"7435" 48600 93 "S29A"
"7907" 48600 41 "ERP8A"
"7915" 48600 418 "ERP21A"
"7916" 48600 173 "ERP22A"
"7921" 48600 168 "ERP6A"
"7922" 48600 363 "S35A"
"7925" 48600 85 "S32A"
"8298" 48600 43 "S49B"
"8298" 49500 24 "S49B"
"10907" 48600 228 "103B"
"5368" 48600 60 "S21A"
"5873" 48600 16 "136A"
"6236" 48600 49 "S39A"
"7036" 48600 312 "S42A"
"7192" 48600 117 "ERP63A"
"7435" 48600 93 "S29A"
"7907" 48600 41 "ERP8A"
"7915" 48600 418 "ERP21A"
"7916" 48600 173 "ERP22A"
"7921" 48600 168 "ERP6A"
"7922" 48600 363 "S35A"
"7925" 48600 85 "S32A"
"8298" 48600 43 "S49B"
"10907" 48600 228 "103B"
"5368" 48600 60 "S21A"
"5873" 48600 16 "136A"
"6236" 48600 49 "S39A"
"7036" 48600 312 "S42A"
"7192" 48600 117 "ERP63A"
"7435" 48600 93 "S29A"
"7907" 48600 41 "ERP8A"
"7915" 48600 418 "ERP21A"
"7916" 48600 173 "ERP22A"
"7921" 48600 168 "ERP6A"
"7922" 48600 363 "S35A"
"7925" 48600 85 "S32A"
"8298" 48600 43 "S49B"
"8298" 49500 24 "S49B"
"8298" 50400 29 "S49B"
"8298" 51300 28 "S49B"
"10907" 48600 228 "103B"
"5368" 48600 60 "S21A"
"5873" 48600 16 "136A"
"6236" 48600 49 "S39A"
"7036" 48600 312 "S42A"
"7192" 48600 117 "ERP63A"
"7435" 48600 93 "S29A"
"7907" 48600 41 "ERP8A"
"7915" 48600 418 "ERP21A"
"7916" 48600 173 "ERP22A"
"7921" 48600 168 "ERP6A"
"7922" 48600 363 "S35A"
"7925" 48600 85 "S32A"
"8298" 48600 43 "S49B"
"10907" 48600 228 "103B"
"5368" 48600 60 "S21A"
"5873" 48600 16 "136A"
"6236" 48600 49 "S39A"
"7036" 48600 312 "S42A"
"7192" 48600 117 "ERP63A"
"7435" 48600 93 "S29A"
"7907" 48600 41 "ERP8A"
"7915" 48600 418 "ERP21A"
"7916" 48600 173 "ERP22A"
"7921" 48600 168 "ERP6A"
"7922" 48600 363 "S35A"
"7925" 48600 85 "S32A"
"8298" 48600 43 "S49B"
"8298" 49500 24 "S49B"
"10907" 48600 228 "103B"
"5368" 48600 60 "S21A"
"5873" 48600 16 "136A"
"6236" 48600 49 "S39A"
"7036" 48600 312 "S42A"
"7192" 48600 117 "ERP63A"
"7435" 48600 93 "S29A"
"7907" 48600 41 "ERP8A"
"7915" 48600 418 "ERP21A"
"7916" 48600 173 "ERP22A"
"7921" 48600 168 "ERP6A"
"7922" 48600 363 "S35A"
"7925" 48600 85 "S32A"
"8298" 48600 43 "S49B"
"10907" 48600 228 "103B"
