"","Time","Origin","Destination","TravelTime","NoObservation","code"
"1",21600,12570,12159,368,2,"12570 12159"
"2",23400,12570,12159,546,3,"12570 12159"
"3",25200,12570,12159,550.5,2,"12570 12159"
"4",27000,12570,12159,735.5,2,"12570 12159"
"5",28800,12570,12159,747.6,5,"12570 12159"
"6",30600,12570,12159,870.666666666667,6,"12570 12159"
"7",32400,12570,12159,996.25,4,"12570 12159"
"8",34200,12570,12159,635.5,6,"12570 12159"
"9",36000,12570,12159,577,1,"12570 12159"
"10",21600,12574,21439,486.222222222222,9,"12574 21439"
"11",23400,12574,21439,464,4,"12574 21439"
"12",25200,12574,21439,550,6,"12574 21439"
"13",27000,12574,21439,751.166666666667,12,"12574 21439"
"14",28800,12574,21439,940,35,"12574 21439"
"15",30600,12574,21439,1076.48148148148,27,"12574 21439"
"16",32400,12574,21439,984.842105263158,19,"12574 21439"
"17",34200,12574,21439,716.727272727273,11,"12574 21439"
"18",36000,12574,21439,686.583333333333,12,"12574 21439"
"19",21600,12906,12159,431,1,"12906 12159"
"20",23400,12906,12159,512.666666666667,3,"12906 12159"
"21",25200,12906,12159,609,1,"12906 12159"
"22",27000,12906,12159,1214,2,"12906 12159"
"23",28800,12906,12159,853.545454545455,11,"12906 12159"
"24",30600,12906,12159,1088.25,4,"12906 12159"
"25",32400,12906,12159,725,1,"12906 12159"
"26",34200,12906,12159,720.75,4,"12906 12159"
"27",36000,12906,12159,735.5,2,"12906 12159"
"28",21600,12906,17083,436,1,"12906 17083"
"29",23400,12906,17083,481,3,"12906 17083"
"30",25200,12906,17083,549,4,"12906 17083"
"31",27000,12906,17083,727,10,"12906 17083"
"32",28800,12906,17083,807.333333333333,12,"12906 17083"
"33",30600,12906,17083,1012.5,8,"12906 17083"
"34",32400,12906,17083,917.285714285714,7,"12906 17083"
"35",34200,12906,17083,634.333333333333,3,"12906 17083"
"36",36000,12906,17083,681.75,4,"12906 17083"
"37",21600,13351,17083,600.625,8,"13351 17083"
"38",23400,13351,17083,730,1,"13351 17083"
"39",25200,13351,17083,545.25,8,"13351 17083"
"40",27000,13351,17083,769,2,"13351 17083"
"41",28800,13351,17083,723,1,"13351 17083"
"42",30600,13351,17083,1266,5,"13351 17083"
"43",32400,13351,17083,1374,2,"13351 17083"
"44",34200,13351,17083,724.2,5,"13351 17083"
"45",36000,13351,17083,672.5,2,"13351 17083"
"46",21600,13803,12159,182,2,"13803 12159"
"47",23400,13803,12159,252,1,"13803 12159"
"48",25200,13803,12159,219.857142857143,7,"13803 12159"
"49",27000,13803,12159,205,3,"13803 12159"
"50",28800,13803,12159,368.222222222222,9,"13803 12159"
"51",30600,13803,12159,476.5,4,"13803 12159"
"52",32400,13803,12159,360,1,"13803 12159"
"53",34200,13803,12159,355.666666666667,3,"13803 12159"
"54",36000,13803,12159,364,1,"13803 12159"
"55",21600,13803,13901,181,2,"13803 13901"
"56",23400,13803,13901,182,4,"13803 13901"
"57",25200,13803,13901,312,2,"13803 13901"
"58",27000,13803,13901,344.5,10,"13803 13901"
"59",28800,13803,13901,367,1,"13803 13901"
"60",30600,13803,13901,447,7,"13803 13901"
"61",32400,13803,13901,487.285714285714,7,"13803 13901"
"62",34200,13803,13901,361,1,"13803 13901"
"63",36000,13803,13901,363.333333333333,6,"13803 13901"
"64",21600,13945,10470,344.5,2,"13945 10470"
"65",23400,13945,10470,373.571428571429,7,"13945 10470"
"66",25200,13945,10470,355.333333333333,3,"13945 10470"
"67",27000,13945,10470,365,1,"13945 10470"
"68",28800,13945,10470,690.714285714286,7,"13945 10470"
"69",30600,13945,10470,532,6,"13945 10470"
"70",32400,13945,10470,441.428571428571,7,"13945 10470"
"71",34200,13945,10470,507.2,5,"13945 10470"
"72",36000,13945,10470,305.333333333333,6,"13945 10470"
"73",21600,13945,19840,180,2,"13945 19840"
"74",23400,13945,19840,184,1,"13945 19840"
"75",25200,13945,19840,183,6,"13945 19840"
"76",27000,13945,19840,238,1,"13945 19840"
"77",28800,13945,19840,213,1,"13945 19840"
"78",30600,13945,19840,180.833333333333,12,"13945 19840"
"79",32400,13945,19840,187,6,"13945 19840"
"80",34200,13945,19840,182.166666666667,6,"13945 19840"
"81",36000,13945,19840,181.25,4,"13945 19840"
"82",21600,14544,21439,366,1,"14544 21439"
"83",23400,14544,21439,524,5,"14544 21439"
"84",25200,14544,21439,654.714285714286,14,"14544 21439"
"85",27000,14544,21439,896.5,4,"14544 21439"
"86",28800,14544,21439,1020.5,12,"14544 21439"
"87",30600,14544,21439,1236.75,8,"14544 21439"
"88",32400,14544,21439,948.6,5,"14544 21439"
"89",34200,14544,21439,658.384615384615,13,"14544 21439"
"90",36000,14544,21439,817,2,"14544 21439"
"91",21600,14974,21731,181,1,"14974 21731"
"92",23400,14974,21731,122,1,"14974 21731"
"93",25200,14974,21731,81,2,"14974 21731"
"94",27000,14974,21731,180.666666666667,3,"14974 21731"
"95",28800,14974,21731,274,2,"14974 21731"
"96",30600,14974,21731,185,1,"14974 21731"
"97",32400,14974,21731,199.666666666667,3,"14974 21731"
"98",34200,14974,21731,284,3,"14974 21731"
"99",36000,14974,21731,238.666666666667,3,"14974 21731"
"100",21600,15509,21439,338.571428571429,7,"15509 21439"
"101",23400,15509,21439,367.25,4,"15509 21439"
"102",25200,15509,21439,355,2,"15509 21439"
"103",27000,15509,21439,690,3,"15509 21439"
