observations,TravelTime,startNodeID,endNodeID,interval
1,216,21303,21303,2010-05-08 14:30:00
1,807,18147,21214,2010-05-08 11:35:00
1,186,11574,14109,2010-02-08 14:50:00
2,1937,17147,17472,2010-05-08 19:45:00
6,779,21242,17949,2010-03-08 23:10:00
3,362,21162,15961,2010-04-08 20:35:00
1,733,10493,20586,2010-04-08 19:30:00
4,1154,21238,14104,2010-02-08 13:05:00
1,468,17474,12693,2010-04-08 23:20:00
2,714,17200,16495,2010-02-08 20:15:00
9,212,21176,21176,2010-04-08 22:55:00
1,1913,14443,16405,2010-05-08 18:30:00
1,430,20270,16733,2010-04-08 09:05:00
1,1267,1380009311,17529,2010-03-08 15:30:00
1,734,1380037774,16421,2010-03-08 09:30:00
3,328,11574,14443,2010-02-08 18:55:00
4,184,14443,22012,2010-05-08 14:05:00
1,367,1380009311,15984,2010-04-08 00:45:00
4,547,21238,21238,2010-02-08 21:25:00
2,1176,21217,10242,2010-05-08 18:30:00
1,547,17165,14337,2010-05-08 21:45:00
1,922,10058,10934,2010-03-08 00:40:00
2,666,17147,19128,2010-03-08 18:30:00
4,365,21238,21238,2010-05-08 09:15:00
1,493,1380011237,10655,2010-03-08 06:00:00
1,856,12366,21586,2010-04-08 00:30:00
2,716,10670,13700,2010-03-08 11:15:00
1,366,12165,19472,2010-05-08 12:25:00
1,2477,1380009311,10049,2010-02-08 18:25:00
2,903.5,21238,21238,2010-03-08 11:35:00
1,948,13968,11821,2010-02-08 18:20:00
2,898,17537,12648,2010-04-08 23:00:00
2,824,14386,20892,2010-02-08 21:45:00
5,1000,16648,10934,2010-05-08 13:50:00
1,362,14959,15984,2010-03-08 14:05:00
1,181,12864,15481,2010-05-08 15:30:00
1,261,16748,12896,2010-04-08 23:45:00
1,1078,20273,18627,2010-02-08 19:10:00
2,369,16648,16421,2010-02-08 12:45:00
1,803,19108,17450,2010-05-08 13:20:00
1,546,15489,15489,2010-03-08 09:15:00
5,725,21977,12656,2010-02-08 23:35:00
1,183,11458,12432,2010-03-08 19:35:00
1,185,17147,10242,2010-03-08 10:25:00
1,824,21217,17351,2010-05-08 10:35:00
2,183,12249,18147,2010-05-08 10:05:00
1,463,21302,11414,2010-02-08 19:10:00
2,1440,1380041827,11900,2010-05-08 15:35:00
1,721,1380002035,13273,2010-05-08 11:50:00
1,364,20365,20273,2010-03-08 22:05:00
25,718,1380009311,1380009311,2010-04-08 03:40:00
4,1806,15170,1380009263,2010-05-08 23:10:00
1,1010,10387,11543,2010-05-08 11:10:00
1,1083,13901,13833,2010-04-08 03:45:00
1,1158,17537,18848,2010-02-08 18:05:00
2,876,16143,17162,2010-05-08 15:05:00
1,661,12930,10675,2010-05-08 19:55:00
1,1189,18066,14607,2010-02-08 13:20:00
4,1102,13075,16186,2010-04-08 12:30:00
2,929,21166,13356,2010-05-08 14:50:00
1,332,10058,20482,2010-02-08 21:20:00
2,1063,18558,13963,2010-02-08 20:05:00
1,1456,21180,14337,2010-04-08 09:10:00
2,182,18916,14337,2010-02-08 20:50:00
1,1441,1380040128,11251,2010-03-08 19:05:00
9,542,21238,21238,2010-04-08 16:50:00
2,721,1380039057,20486,2010-04-08 15:35:00
2,1263,1380034174,17775,2010-02-08 16:20:00
1,362,21238,21238,2010-04-08 17:10:00
1,1608,1380021322,15021,2010-04-08 07:50:00
1,366,13342,16876,2010-04-08 20:10:00
2,1599,16741,13937,2010-03-08 18:55:00
1,541,12249,20496,2010-05-08 15:05:00
1,1055,15220,14873,2010-02-08 14:40:00
1,1593,21876,21693,2010-03-08 07:25:00
1,1320,11821,16912,2010-02-08 16:40:00
5,364,16648,20481,2010-05-08 13:00:00
1,1017,1380040128,13149,2010-02-08 21:35:00
1,724,21083,15489,2010-05-08 12:45:00
1,546,16143,1380024098,2010-03-08 21:40:00
1,1453,17891,11911,2010-02-08 08:50:00
